# Sensor Lundemosen, Greve Strand, Denmark (Citizen Science project sensor.community/78298)
# https://aqicn.org/station/@370306/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-04-15T00:00:00.000Z,7.57,21.92,11.73,9.05,15.27,3.845,580
2023-04-16T00:00:00.000Z,4.5,11.85,7.43,6.75,8.38,1.446,586
2023-04-17T00:00:00.000Z,5.82,16.3,9.15,7.72,10.88,2.084,577
2023-04-18T00:00:00.000Z,1.5,10.9,3.47,3.08,4.8,1.77,579
2023-04-19T00:00:00.000Z,1.33,7.13,1.97,1.77,2.2,0.411,494
2023-04-20T00:00:00.000Z,1.73,31.13,4.18,2.54,4.9,1.793,551
2023-04-21T00:00:00.000Z,2.1,9.55,3.15,2.7,3.65,0.709,507
2023-04-22T00:00:00.000Z,1.6,9.3,3.45,2.88,4.47,1.118,490
2023-04-23T00:00:00.000Z,2.2,20.63,7.9,5.93,10.07,3.292,351
2023-04-24T00:00:00.000Z,3.17,22.48,6.5,5.07,12.68,4.561,570
2023-04-25T00:00:00.000Z,1.85,7.5,3.35,3,4.13,0.981,579
2023-04-26T00:00:00.000Z,1.3,5.32,2.25,1.88,2.65,0.547,579
2023-04-27T00:00:00.000Z,1.14,4.8,2.2,1.7,3,0.786,550
2023-04-28T00:00:00.000Z,1.7,7.93,3.13,2.35,3.83,0.999,398
2023-04-29T00:00:00.000Z,1.63,7.53,3.58,2.63,4.3,1.02,570
2023-04-30T00:00:00.000Z,2.08,6.57,3.4,2.95,3.95,0.888,415
2023-05-01T00:00:00.000Z,3.22,16.14,4.84,4.25,5.77,1.586,560
2023-05-02T00:00:00.000Z,1.63,12.35,2.65,2,3.71,1.981,549
2023-05-03T00:00:00.000Z,1.45,5.78,3.05,2.6,3.75,0.83,389
2023-05-04T00:00:00.000Z,0.98,6.28,2.52,1.95,3.85,1.397,563
2023-05-05T00:00:00.000Z,1.48,3.47,2.15,1.9,2.5,0.409,409
2023-05-06T00:00:00.000Z,1.75,4.55,2.7,2.4,3,0.411,573
2023-05-07T00:00:00.000Z,2.54,5.55,3.3,3.1,3.55,0.374,445
